orderNumber,orderDate,requiredDate,status,customerNumber,amount,paymentMethod
1315,2024-03-09,2024-03-09,Cancelled,413,5669.53,PayPal
1316,2024-03-01,2024-03-01,Processing,858,5445.47,Bank Transfer
1317,2024-10-06,2024-10-06,Cancelled,29,5252.38,Credit Card
1318,2024-06-23,2024-06-23,Cancelled,984,9733.94,Bank Transfer
1319,2024-02-11,2024-02-11,Shipped,188,4404.69,Cash
1320,2024-03-31,2024-03-31,Shipped,111,9745.53,Credit Card
1321,2024-09-12,2024-09-12,Cancelled,105,4068.33,Credit Card
1322,2024-11-13,2024-11-13,Shipped,596,683.62,Credit Card
1323,2024-08-21,2024-08-21,Shipped,577,1894.2,Cash
1324,2024-01-31,2024-01-31,Cancelled,958,2247.1,PayPal
1325,2024-03-27,2024-03-27,Cancelled,714,4622.78,Bank Transfer
1326,2024-11-18,2024-11-18,Cancelled,341,2534.95,Credit Card
1327,2024-03-27,2024-03-27,Processing,654,4670.96,Credit Card
1328,2024-10-29,2024-10-29,Shipped,932,1890.82,Bank Transfer
1329,2024-01-26,2024-01-26,Processing,431,2401.57,Bank Transfer
1330,2024-01-07,2024-01-07,Processing,852,2404.96,PayPal
1331,2024-04-12,2024-04-12,On Hold,97,6525.86,Cash
1332,2024-08-20,2024-08-20,Shipped,716,3444.9,Bank Transfer
1333,2024-04-30,2024-04-30,Processing,637,9011.09,Credit Card
1334,2024-08-23,2024-08-23,On Hold,287,9732.98,Bank Transfer
1335,2024-09-06,2024-09-06,Shipped,231,4170.62,Cash
1336,2024-04-13,2024-04-13,Processing,124,4911.72,Credit Card
1337,2024-11-16,2024-11-16,Cancelled,855,4509.01,Bank Transfer
1338,2024-06-29,2024-06-29,On Hold,79,7458.09,PayPal
1339,2024-07-13,2024-07-13,On Hold,354,8534.46,PayPal
1340,2024-03-28,2024-03-28,Shipped,430,6369.8,PayPal
1341,2024-02-20,2024-02-20,Processing,995,9980.55,Credit Card
1342,2024-06-25,2024-06-25,On Hold,400,3957.24,Bank Transfer
1343,2024-04-24,2024-04-24,On Hold,410,9724.71,Credit Card
1344,2024-10-28,2024-10-28,On Hold,995,7695.46,Bank Transfer
1345,2024-02-28,2024-02-28,Shipped,726,5789.31,Credit Card
1346,2024-02-21,2024-02-21,Processing,501,8140.8,Bank Transfer
1347,2024-04-21,2024-04-21,Shipped,668,8581.31,Bank Transfer
1348,2024-10-28,2024-10-28,On Hold,511,7908.5,Credit Card
1349,2024-09-04,2024-09-04,Processing,395,8174.29,Cash
1350,2024-05-27,2024-05-27,Cancelled,670,2680.84,Bank Transfer
1351,2024-07-13,2024-07-13,Cancelled,301,2345.61,PayPal
1352,2024-06-11,2024-06-11,On Hold,423,4304.19,Bank Transfer
1353,2024-08-26,2024-08-26,Processing,714,6640.61,Credit Card
1354,2024-11-21,2024-11-21,Processing,148,9355.83,Credit Card
1355,2024-11-17,2024-11-17,Shipped,137,3250.78,PayPal
1356,2024-06-28,2024-06-28,Cancelled,789,8134.18,PayPal
1357,2024-07-10,2024-07-10,Shipped,641,3759.24,PayPal
1358,2024-04-20,2024-04-20,Processing,402,394.08,Bank Transfer
1359,2024-06-01,2024-06-01,On Hold,248,7568.87,Bank Transfer
1360,2024-05-08,2024-05-08,On Hold,809,1194.19,PayPal
1361,2024-11-18,2024-11-18,On Hold,768,3954.28,Bank Transfer
1362,2024-09-07,2024-09-07,On Hold,376,1227.1,PayPal
1363,2024-03-19,2024-03-19,Shipped,534,2239.67,Credit Card
1364,2024-09-08,2024-09-08,Shipped,85,5961.29,Bank Transfer
1365,2024-05-21,2024-05-21,Processing,88,9880.29,PayPal
1366,2024-01-28,2024-01-28,Processing,384,6695.37,Cash
1367,2024-09-27,2024-09-27,Shipped,426,7716.44,PayPal
1368,2024-08-08,2024-08-08,Cancelled,670,5891.64,PayPal
1369,2024-06-22,2024-06-22,Cancelled,148,8498.02,Bank Transfer
1370,2024-03-01,2024-03-01,On Hold,125,2664.15,PayPal
1371,2024-04-20,2024-04-20,Cancelled,772,8282.5,Bank Transfer
1372,2024-11-26,2024-11-26,On Hold,26,4983.96,Cash
1373,2024-10-26,2024-10-26,Cancelled,881,7137.12,Bank Transfer
1374,2024-08-07,2024-08-07,Shipped,505,6527.79,PayPal
1375,2024-05-01,2024-05-01,Shipped,817,1271.42,PayPal
1376,2024-04-08,2024-04-08,Processing,614,6570.97,Credit Card
1377,2024-08-30,2024-08-30,Processing,359,4212.87,Bank Transfer
1378,2024-04-21,2024-04-21,Shipped,253,8675.79,Cash
1379,2024-09-02,2024-09-02,Shipped,936,1528.47,Bank Transfer
1380,2024-05-26,2024-05-26,Processing,360,5323.08,PayPal
1381,2024-06-15,2024-06-15,Cancelled,727,4569.16,Cash
1382,2024-05-30,2024-05-30,Shipped,323,1961.23,PayPal
1383,2024-10-03,2024-10-03,On Hold,126,6485.68,Credit Card
1384,2024-10-07,2024-10-07,Cancelled,899,3753.07,Credit Card
1385,2024-01-02,2024-01-02,Shipped,786,9298.72,Bank Transfer
1386,2024-02-12,2024-02-12,Processing,696,5949.69,Credit Card
1387,2024-03-12,2024-03-12,Cancelled,15,6867.9,Bank Transfer
1388,2024-03-19,2024-03-19,Processing,277,311.46,Bank Transfer
1389,2024-06-12,2024-06-12,Shipped,75,9800.19,Bank Transfer
1390,2024-07-19,2024-07-19,On Hold,990,1377.19,Bank Transfer
1391,2024-04-18,2024-04-18,Processing,806,3713.09,Cash
1392,2024-06-20,2024-06-20,Cancelled,476,2849.15,PayPal
1393,2024-04-25,2024-04-25,Cancelled,848,7434.2,Credit Card
1394,2024-02-21,2024-02-21,Cancelled,170,5240.99,Bank Transfer
1395,2024-09-25,2024-09-25,Cancelled,447,7488.61,Bank Transfer
1396,2024-10-30,2024-10-30,On Hold,295,9388.6,PayPal
1397,2024-05-12,2024-05-12,Shipped,448,6816.86,Bank Transfer
1398,2024-09-26,2024-09-26,On Hold,664,8276.28,PayPal
1399,2024-03-25,2024-03-25,Processing,846,9962.34,PayPal
1400,2024-01-05,2024-01-05,Cancelled,561,3782.66,PayPal
1401,2024-05-30,2024-05-30,Cancelled,56,8756.78,Bank Transfer
1402,2024-10-31,2024-10-31,On Hold,207,2117.16,Bank Transfer
1403,2024-09-13,2024-09-13,On Hold,637,3828.84,PayPal
1404,2024-07-30,2024-07-30,Cancelled,696,6838.5,PayPal
1405,2024-01-17,2024-01-17,Cancelled,351,4728.16,Cash
1406,2024-06-05,2024-06-05,Processing,680,1631.78,PayPal
1407,2024-11-15,2024-11-15,On Hold,487,2182.18,Credit Card
1408,2024-09-16,2024-09-16,On Hold,908,2912.12,Credit Card
1409,2024-04-01,2024-04-01,Processing,858,3485.42,Cash
1410,2024-01-17,2024-01-17,Processing,249,6533.44,Credit Card
1411,2024-11-26,2024-11-26,Processing,132,4413.81,Bank Transfer
1412,2024-02-21,2024-02-21,Cancelled,296,1728.18,PayPal
1413,2024-09-17,2024-09-17,Shipped,374,7017.69,Bank Transfer
1414,2024-03-21,2024-03-21,Processing,158,9770.19,PayPal
1415,2024-03-24,2024-03-24,Processing,265,2631.84,Bank Transfer
1416,2024-04-26,2024-04-26,Shipped,784,6838.94,Cash
1417,2024-07-31,2024-07-31,Processing,991,893.35,Bank Transfer
1418,2024-07-10,2024-07-10,Cancelled,269,6671.85,Credit Card
1419,2024-09-15,2024-09-15,Cancelled,703,243.06,Credit Card
1420,2024-10-04,2024-10-04,Processing,790,5368.34,PayPal
1421,2024-04-13,2024-04-13,Processing,548,4912.16,Credit Card
1422,2024-07-02,2024-07-02,On Hold,424,1435.09,Credit Card
1423,2024-11-14,2024-11-14,Cancelled,45,7861.99,PayPal
1424,2024-05-24,2024-05-24,Cancelled,629,8968.95,PayPal
1425,2024-07-11,2024-07-11,On Hold,50,2233.32,Bank Transfer
1426,2024-08-17,2024-08-17,Processing,937,2413.16,PayPal
1427,2024-02-08,2024-02-08,Shipped,51,5946.88,Cash
1428,2024-03-14,2024-03-14,Cancelled,850,3668.56,Cash
1429,2024-02-20,2024-02-20,Shipped,299,8137.91,Bank Transfer
1430,2024-04-18,2024-04-18,Shipped,163,1607.96,Cash
1431,2024-08-31,2024-08-31,Shipped,906,4829.48,Cash
1432,2024-03-12,2024-03-12,Shipped,138,4129.32,Credit Card
1433,2024-07-01,2024-07-01,Processing,754,1504.22,Credit Card
1434,2024-07-19,2024-07-19,Shipped,746,3293.34,PayPal
1435,2024-03-17,2024-03-17,On Hold,431,8124.66,PayPal
1436,2024-07-10,2024-07-10,Processing,151,9700.34,Bank Transfer
1437,2024-07-08,2024-07-08,Processing,802,5340.39,Cash
1438,2024-01-23,2024-01-23,On Hold,634,3783.14,Cash
1439,2024-06-18,2024-06-18,Processing,660,7660.11,Cash
1440,2024-07-05,2024-07-05,Shipped,355,2791.79,PayPal
1441,2024-03-14,2024-03-14,Processing,343,1451.28,Bank Transfer
1442,2024-01-10,2024-01-10,Shipped,121,9358.43,Cash
1443,2024-02-13,2024-02-13,On Hold,983,9230.84,Credit Card
1444,2024-02-20,2024-02-20,Cancelled,561,2869.64,Cash
1445,2024-05-09,2024-05-09,Shipped,374,6566.92,Bank Transfer
1446,2024-05-24,2024-05-24,Cancelled,389,2100.15,PayPal
1447,2024-06-04,2024-06-04,Cancelled,606,7388.88,Credit Card
1448,2024-10-10,2024-10-10,On Hold,568,8906.15,Bank Transfer
1449,2024-04-03,2024-04-03,Processing,739,7060.55,Bank Transfer
1450,2024-08-16,2024-08-16,Shipped,502,905.68,Credit Card
1451,2024-11-18,2024-11-18,Processing,486,9576.35,Bank Transfer
1452,2024-09-21,2024-09-21,Shipped,598,3306.96,PayPal
1453,2024-10-18,2024-10-18,Processing,224,9098.52,Cash
1454,2024-07-06,2024-07-06,Shipped,12,1401.77,PayPal
1455,2024-05-26,2024-05-26,Shipped,334,674.71,PayPal
1456,2024-07-20,2024-07-20,Cancelled,884,7733.51,Cash
1457,2024-08-20,2024-08-20,Shipped,847,2482.68,Bank Transfer
1458,2024-11-05,2024-11-05,On Hold,693,226.53,Credit Card
1459,2024-07-23,2024-07-23,Processing,751,343.33,PayPal
1460,2024-06-13,2024-06-13,Shipped,968,4242.14,Bank Transfer
1461,2024-09-07,2024-09-07,On Hold,218,7690.16,Cash
1462,2024-10-28,2024-10-28,Cancelled,941,4927.09,PayPal
1463,2024-07-16,2024-07-16,On Hold,48,4992.43,Bank Transfer
1464,2024-10-30,2024-10-30,Processing,259,3445.09,Bank Transfer
1465,2024-08-22,2024-08-22,Shipped,822,9249.67,Bank Transfer
1466,2024-10-09,2024-10-09,Cancelled,423,2329.36,Cash
1467,2024-01-12,2024-01-12,Cancelled,604,5587.27,PayPal
1468,2024-07-04,2024-07-04,Cancelled,816,4566.61,Credit Card
1469,2024-03-12,2024-03-12,Cancelled,382,1902.88,PayPal
1470,2024-10-31,2024-10-31,On Hold,643,258.08,Credit Card
1471,2024-08-06,2024-08-06,Shipped,682,5697.84,Cash
1472,2024-07-03,2024-07-03,Processing,382,8873.8,Bank Transfer
1473,2024-04-24,2024-04-24,Processing,190,7647.85,Cash
1474,2024-03-05,2024-03-05,Cancelled,513,6524.65,Cash
1475,2024-06-19,2024-06-19,Shipped,292,9599.09,Bank Transfer
1476,2024-09-24,2024-09-24,Processing,942,4921.9,PayPal
1477,2024-09-26,2024-09-26,On Hold,21,3132.31,PayPal
1478,2024-02-15,2024-02-15,On Hold,238,6584.72,Cash
1479,2024-08-24,2024-08-24,Cancelled,988,8559.56,Bank Transfer
1480,2024-07-09,2024-07-09,Cancelled,940,7125.1,Bank Transfer
1481,2024-02-15,2024-02-15,Processing,770,8502.01,Bank Transfer
1482,2024-05-28,2024-05-28,Processing,286,3210.62,Cash
1483,2024-08-26,2024-08-26,Processing,823,7041.49,Credit Card
1484,2024-03-04,2024-03-04,Shipped,139,1741.79,PayPal
1485,2024-04-18,2024-04-18,On Hold,371,7126.16,Cash
1486,2024-10-14,2024-10-14,Processing,774,1980.19,PayPal
1487,2024-09-04,2024-09-04,On Hold,973,9353.58,Credit Card
1488,2024-05-20,2024-05-20,Processing,357,7823.89,Cash
1489,2024-01-28,2024-01-28,Shipped,252,6430.34,Credit Card
1490,2024-01-24,2024-01-24,On Hold,641,1015.78,Cash
1491,2024-06-03,2024-06-03,Processing,866,1607.39,Cash
1492,2024-07-23,2024-07-23,Processing,781,2762.92,Cash
1493,2024-08-20,2024-08-20,Shipped,605,5635.12,PayPal
1494,2024-06-09,2024-06-09,On Hold,238,7113.79,Cash
1495,2024-11-22,2024-11-22,Shipped,883,5847.36,Credit Card
1496,2024-02-14,2024-02-14,Shipped,827,1700.53,Bank Transfer
1497,2024-09-17,2024-09-17,Cancelled,57,2090.6,Bank Transfer
1498,2024-03-29,2024-03-29,Cancelled,828,872.35,Cash
1499,2024-04-23,2024-04-23,On Hold,691,8604.81,Cash
1500,2024-05-18,2024-05-18,Shipped,97,8456.01,Bank Transfer
1501,2024-04-21,2024-04-21,Shipped,686,3460.17,Credit Card
1502,2024-05-22,2024-05-22,Processing,272,2327.24,Credit Card
1503,2024-05-18,2024-05-18,Processing,214,3100.84,Bank Transfer
1504,2024-01-20,2024-01-20,Shipped,403,186.66,Credit Card
1505,2024-11-19,2024-11-19,On Hold,458,2753.76,Credit Card
1506,2024-05-24,2024-05-24,Shipped,875,4517.36,Bank Transfer
1507,2024-06-10,2024-06-10,On Hold,315,2909.75,Credit Card
1508,2024-07-09,2024-07-09,Processing,850,9528.08,PayPal
1509,2024-10-17,2024-10-17,Cancelled,35,9189.23,Bank Transfer
1510,2024-11-14,2024-11-14,Processing,572,7924.23,PayPal
1511,2024-04-04,2024-04-04,On Hold,878,6663.41,PayPal
1512,2024-08-03,2024-08-03,Cancelled,321,8448.52,Cash
1513,2024-11-12,2024-11-12,Cancelled,731,1865.64,Cash
1514,2024-04-26,2024-04-26,Processing,96,9424.02,Cash
1515,2024-01-12,2024-01-12,On Hold,764,8809.84,PayPal
1516,2024-02-17,2024-02-17,On Hold,226,8177.19,Cash
1517,2024-09-10,2024-09-10,Cancelled,42,7685.64,Credit Card
1518,2024-08-19,2024-08-19,Cancelled,622,8971.79,Cash
1519,2024-10-27,2024-10-27,Cancelled,92,8466.47,Bank Transfer
1520,2024-08-17,2024-08-17,Cancelled,71,746.4,Bank Transfer
1521,2024-06-13,2024-06-13,Shipped,848,527.27,Credit Card
1522,2024-09-10,2024-09-10,On Hold,389,6950.0,PayPal
1523,2024-07-14,2024-07-14,Cancelled,537,8898.95,Cash
1524,2024-10-04,2024-10-04,Shipped,337,6991.11,Credit Card
1525,2024-09-08,2024-09-08,Shipped,398,1742.13,Bank Transfer
1526,2024-04-28,2024-04-28,Shipped,76,9067.83,Bank Transfer
1527,2024-09-13,2024-09-13,Cancelled,280,1247.01,Bank Transfer
1528,2024-11-07,2024-11-07,Processing,462,6576.65,PayPal
1529,2024-01-09,2024-01-09,Processing,990,4163.9,PayPal
1530,2024-09-27,2024-09-27,On Hold,726,3753.66,Bank Transfer
1531,2024-09-08,2024-09-08,Shipped,502,1915.19,Credit Card
1532,2024-10-30,2024-10-30,Processing,967,6650.41,Bank Transfer
1533,2024-11-18,2024-11-18,Shipped,169,2060.16,Cash
1534,2024-02-14,2024-02-14,Processing,825,8175.4,Bank Transfer
1535,2024-03-19,2024-03-19,Cancelled,247,9054.98,Cash
1536,2024-11-20,2024-11-20,On Hold,758,4989.06,Credit Card
1537,2024-11-19,2024-11-19,Processing,228,6403.3,Credit Card
1538,2024-11-12,2024-11-12,Processing,411,4603.67,Credit Card
1539,2024-06-16,2024-06-16,Processing,390,1890.29,Cash
1540,2024-03-12,2024-03-12,On Hold,719,2811.56,Cash
1541,2024-10-02,2024-10-02,Cancelled,654,120.95,Credit Card
1542,2024-04-07,2024-04-07,Shipped,7,5023.62,Cash
1543,2024-04-24,2024-04-24,Shipped,520,4882.45,PayPal
1544,2024-07-25,2024-07-25,Cancelled,828,9653.42,PayPal
1545,2024-05-30,2024-05-30,Cancelled,435,8265.81,Cash
1546,2024-08-14,2024-08-14,Shipped,503,5695.77,Credit Card
1547,2024-08-24,2024-08-24,On Hold,197,4655.14,PayPal
1548,2024-07-02,2024-07-02,Cancelled,492,6505.01,Cash
1549,2024-09-16,2024-09-16,Shipped,830,7604.79,Bank Transfer
1550,2024-04-17,2024-04-17,On Hold,626,8742.51,Cash
1551,2024-10-16,2024-10-16,On Hold,200,4903.45,Bank Transfer
1552,2024-11-02,2024-11-02,Cancelled,267,5257.18,Bank Transfer
1553,2024-11-02,2024-11-02,Cancelled,526,8814.26,Credit Card
1554,2024-04-27,2024-04-27,Shipped,26,3968.56,Bank Transfer
1555,2024-07-11,2024-07-11,On Hold,931,5321.62,PayPal
1556,2024-05-11,2024-05-11,Processing,561,9814.81,Bank Transfer
1557,2024-09-10,2024-09-10,Processing,23,307.9,Cash
1558,2024-02-03,2024-02-03,Cancelled,517,2763.71,Credit Card
1559,2024-09-28,2024-09-28,Processing,460,1629.97,PayPal
1560,2024-07-15,2024-07-15,Processing,643,5033.71,Cash
1561,2024-08-02,2024-08-02,On Hold,583,7777.83,PayPal
1562,2024-03-19,2024-03-19,On Hold,952,4665.74,Cash
1563,2024-11-03,2024-11-03,On Hold,360,4639.19,Cash
1564,2024-03-29,2024-03-29,Processing,763,652.7,Credit Card
1565,2024-05-23,2024-05-23,Processing,327,7536.52,Cash
1566,2024-03-11,2024-03-11,Shipped,822,1158.78,Credit Card
1567,2024-09-03,2024-09-03,Shipped,576,8405.97,Cash
1568,2024-08-01,2024-08-01,Cancelled,494,8542.67,Cash
1569,2024-03-25,2024-03-25,Cancelled,208,9866.01,Bank Transfer
1570,2024-06-07,2024-06-07,Cancelled,938,7250.18,Bank Transfer
1571,2024-04-13,2024-04-13,Cancelled,843,4550.29,Cash
1572,2024-10-04,2024-10-04,Shipped,201,4627.67,Credit Card
1573,2024-09-13,2024-09-13,Processing,517,6781.93,Bank Transfer
1574,2024-01-21,2024-01-21,On Hold,764,6949.07,Cash
1575,2024-01-16,2024-01-16,Processing,30,8885.22,Cash
1576,2024-01-09,2024-01-09,Shipped,245,4410.34,Bank Transfer
1577,2024-02-21,2024-02-21,Shipped,282,6001.84,Cash
1578,2024-08-07,2024-08-07,Processing,955,7932.72,PayPal
1579,2024-03-23,2024-03-23,On Hold,511,5606.75,Cash
1580,2024-11-18,2024-11-18,Shipped,544,4598.27,Cash
1581,2024-07-17,2024-07-17,Cancelled,285,410.46,Credit Card
1582,2024-07-12,2024-07-12,On Hold,632,8660.27,Credit Card
1583,2024-02-24,2024-02-24,On Hold,885,6827.02,PayPal
1584,2024-01-21,2024-01-21,Shipped,775,7398.28,PayPal
1585,2024-05-21,2024-05-21,Cancelled,455,3316.22,PayPal
1586,2024-04-06,2024-04-06,Processing,283,1214.08,Cash
1587,2024-06-02,2024-06-02,Shipped,544,3052.45,PayPal
1588,2024-08-27,2024-08-27,Shipped,801,1710.67,Bank Transfer
1589,2024-03-06,2024-03-06,Processing,906,2993.5,PayPal
1590,2024-11-07,2024-11-07,Shipped,547,5789.83,Credit Card
1591,2024-05-30,2024-05-30,Cancelled,827,4072.12,Cash
1592,2024-08-20,2024-08-20,On Hold,336,6046.74,Bank Transfer
1593,2024-04-23,2024-04-23,On Hold,563,2813.79,PayPal
1594,2024-08-16,2024-08-16,On Hold,118,6451.31,Bank Transfer
1595,2024-05-05,2024-05-05,On Hold,744,9813.24,Bank Transfer
1596,2024-04-14,2024-04-14,On Hold,367,9604.49,PayPal
1597,2024-06-29,2024-06-29,Shipped,147,7774.85,Credit Card
1598,2024-04-25,2024-04-25,Shipped,256,1383.87,Cash
1599,2024-07-17,2024-07-17,Cancelled,432,7596.26,Credit Card
1600,2024-07-19,2024-07-19,On Hold,141,5579.66,Bank Transfer
1601,2024-11-15,2024-11-15,Processing,613,1398.47,PayPal
1602,2024-02-03,2024-02-03,On Hold,314,6751.65,Credit Card
1603,2024-07-19,2024-07-19,On Hold,855,8740.32,PayPal
1604,2024-03-18,2024-03-18,Cancelled,33,501.52,Cash
1605,2024-07-25,2024-07-25,On Hold,442,5087.43,Bank Transfer
1606,2024-01-11,2024-01-11,Cancelled,747,2011.43,PayPal
1607,2024-06-28,2024-06-28,Cancelled,502,9228.19,Credit Card
1608,2024-09-06,2024-09-06,Processing,862,277.93,Cash
1609,2024-07-28,2024-07-28,Shipped,251,9673.16,PayPal
1610,2024-02-11,2024-02-11,Processing,470,5156.65,Credit Card
1611,2024-03-14,2024-03-14,Processing,587,7804.8,Bank Transfer
1612,2024-08-02,2024-08-02,Cancelled,277,4899.65,PayPal
1613,2024-06-25,2024-06-25,Processing,472,4106.53,PayPal
1614,2024-05-26,2024-05-26,Shipped,383,2270.79,PayPal
1615,2024-01-02,2024-01-02,Shipped,355,6683.9,Bank Transfer
1616,2024-03-22,2024-03-22,Cancelled,418,3153.65,Cash
1617,2024-01-25,2024-01-25,Processing,218,6697.91,Bank Transfer
1618,2024-08-11,2024-08-11,Processing,389,235.16,Credit Card
1619,2024-05-21,2024-05-21,Processing,768,6985.5,Bank Transfer
1620,2024-03-11,2024-03-11,Processing,570,9188.67,Cash
1621,2024-03-08,2024-03-08,Processing,842,2576.24,Cash
1622,2024-10-07,2024-10-07,Cancelled,468,4239.52,Cash
1623,2024-09-28,2024-09-28,On Hold,176,6451.18,PayPal
1624,2024-06-04,2024-06-04,Processing,543,5916.1,PayPal
1625,2024-04-03,2024-04-03,Shipped,961,6442.08,PayPal
1626,2024-04-10,2024-04-10,Processing,984,4852.66,PayPal
1627,2024-05-06,2024-05-06,On Hold,921,8861.56,Credit Card
1628,2024-01-23,2024-01-23,Processing,58,6745.37,PayPal
1629,2024-03-17,2024-03-17,Shipped,403,1776.31,Cash
1630,2024-11-20,2024-11-20,Cancelled,322,8263.85,Bank Transfer
1631,2024-03-18,2024-03-18,Cancelled,920,6150.4,Cash
1632,2024-06-15,2024-06-15,Shipped,322,9658.85,Credit Card
1633,2024-04-28,2024-04-28,Shipped,225,3613.12,Cash
1634,2024-08-30,2024-08-30,Processing,81,1203.82,Credit Card
1635,2024-04-10,2024-04-10,Processing,909,6173.27,PayPal
1636,2024-10-07,2024-10-07,On Hold,437,6032.53,PayPal
1637,2024-01-11,2024-01-11,Shipped,986,3735.58,Cash
1638,2024-02-17,2024-02-17,On Hold,824,4981.69,PayPal
1639,2024-11-06,2024-11-06,Cancelled,952,7716.98,Cash
1640,2024-07-26,2024-07-26,Processing,991,6209.56,Credit Card
1641,2024-08-30,2024-08-30,Processing,309,3515.76,Cash
1642,2024-09-05,2024-09-05,On Hold,705,4052.47,Cash
1643,2024-07-03,2024-07-03,Shipped,781,8672.18,Cash
1644,2024-07-20,2024-07-20,Cancelled,38,6487.86,Bank Transfer
1645,2024-04-29,2024-04-29,On Hold,220,9206.22,Cash
1646,2024-03-03,2024-03-03,Processing,842,5970.54,Cash
1647,2024-06-04,2024-06-04,Shipped,657,6334.08,Cash
1648,2024-03-10,2024-03-10,Processing,722,5112.79,Credit Card
1649,2024-07-01,2024-07-01,On Hold,511,1843.08,Bank Transfer
1650,2024-07-16,2024-07-16,Processing,142,4712.22,PayPal
1651,2024-02-07,2024-02-07,Processing,329,7064.32,Credit Card
1652,2024-07-29,2024-07-29,On Hold,670,6531.02,Cash
1653,2024-01-27,2024-01-27,On Hold,459,5646.01,Cash
1654,2024-07-24,2024-07-24,Shipped,472,7098.0,Bank Transfer
1655,2024-11-17,2024-11-17,On Hold,758,3202.33,Cash
1656,2024-09-07,2024-09-07,Shipped,244,2646.28,Credit Card
1657,2024-10-20,2024-10-20,Processing,961,6504.97,Credit Card
1658,2024-04-25,2024-04-25,Cancelled,258,4002.74,Credit Card
1659,2024-02-26,2024-02-26,Processing,279,2732.95,Bank Transfer
1660,2024-09-13,2024-09-13,On Hold,619,1233.42,Cash
1661,2024-07-11,2024-07-11,On Hold,99,7808.4,Cash
1662,2024-01-20,2024-01-20,Processing,646,2616.72,Cash
1663,2024-09-26,2024-09-26,Shipped,625,9814.98,PayPal
1664,2024-02-08,2024-02-08,Cancelled,297,3789.92,Bank Transfer
1665,2024-05-14,2024-05-14,Processing,317,1773.15,PayPal
1666,2024-10-25,2024-10-25,Shipped,515,1696.41,Bank Transfer
1667,2024-03-23,2024-03-23,On Hold,199,4652.79,Bank Transfer
1668,2024-10-20,2024-10-20,Processing,503,1326.06,Bank Transfer
1669,2024-08-14,2024-08-14,On Hold,817,8906.22,Bank Transfer
1670,2024-11-20,2024-11-20,Cancelled,916,9593.06,Bank Transfer
1671,2024-04-05,2024-04-05,Cancelled,6,6661.37,Cash
1672,2024-04-10,2024-04-10,Processing,664,610.98,Credit Card
1673,2024-10-29,2024-10-29,On Hold,438,2883.65,Cash
1674,2024-01-29,2024-01-29,Processing,82,9342.4,Cash
1675,2024-10-29,2024-10-29,Cancelled,794,5026.28,PayPal
1676,2024-08-26,2024-08-26,Shipped,736,6955.1,PayPal
1677,2024-09-03,2024-09-03,Cancelled,762,9733.36,Credit Card
1678,2024-01-08,2024-01-08,Processing,230,6293.89,PayPal
1679,2024-09-15,2024-09-15,On Hold,147,2434.76,Credit Card
1680,2024-11-13,2024-11-13,Processing,83,863.64,Bank Transfer
1681,2024-11-02,2024-11-02,Processing,581,4902.57,Bank Transfer
1682,2024-05-10,2024-05-10,Shipped,258,4193.04,Cash
1683,2024-06-14,2024-06-14,Processing,938,5681.39,Credit Card
1684,2024-09-05,2024-09-05,Cancelled,448,685.67,PayPal
1685,2024-08-14,2024-08-14,Cancelled,515,7735.74,Bank Transfer
1686,2024-09-05,2024-09-05,Processing,504,4588.63,PayPal
1687,2024-04-07,2024-04-07,Processing,545,1494.38,Cash
1688,2024-06-18,2024-06-18,Processing,823,1746.35,Cash
1689,2024-03-12,2024-03-12,Processing,269,7507.01,Bank Transfer
1690,2024-08-04,2024-08-04,On Hold,593,6220.76,PayPal
1691,2024-01-10,2024-01-10,On Hold,625,7635.83,Bank Transfer
1692,2024-06-28,2024-06-28,Cancelled,703,7169.62,Bank Transfer
1693,2024-11-18,2024-11-18,Processing,240,3503.92,Credit Card
1694,2024-09-21,2024-09-21,Cancelled,254,4596.21,Bank Transfer
1695,2024-11-12,2024-11-12,On Hold,157,6562.7,Cash
1696,2024-08-05,2024-08-05,Shipped,801,650.98,Credit Card
1697,2024-05-19,2024-05-19,Processing,946,6552.98,Bank Transfer
1698,2024-11-07,2024-11-07,Processing,879,4228.78,Bank Transfer
1699,2024-07-24,2024-07-24,Processing,231,6940.01,Cash
1700,2024-01-02,2024-01-02,Processing,28,4203.63,PayPal
1701,2024-05-03,2024-05-03,Processing,874,4931.87,PayPal
1702,2024-06-14,2024-06-14,On Hold,460,3241.62,PayPal
1703,2024-05-30,2024-05-30,Processing,945,1509.97,Credit Card
1704,2024-04-18,2024-04-18,Cancelled,279,532.98,Bank Transfer
1705,2024-01-23,2024-01-23,Cancelled,208,563.51,PayPal
1706,2024-07-11,2024-07-11,Shipped,461,5752.72,Cash
1707,2024-03-25,2024-03-25,Shipped,691,4233.66,Credit Card
1708,2024-08-13,2024-08-13,On Hold,826,9389.41,Credit Card
1709,2024-09-29,2024-09-29,Processing,472,1328.88,Credit Card
1710,2024-02-15,2024-02-15,Processing,583,1787.53,PayPal
1711,2024-02-04,2024-02-04,Shipped,674,276.49,Bank Transfer
1712,2024-04-12,2024-04-12,On Hold,350,130.51,Cash
1713,2024-06-28,2024-06-28,Shipped,241,4952.31,Cash
1714,2024-04-06,2024-04-06,Shipped,609,5735.08,Credit Card
1715,2024-04-08,2024-04-08,Processing,466,798.32,PayPal
1716,2024-02-09,2024-02-09,On Hold,821,9694.75,Bank Transfer
1717,2024-02-10,2024-02-10,Processing,730,3029.59,Cash
